text1,text2,label,idx,label_text,global_idx
"Archaeologists have concluded that humans lived in Laputa 20,000 years ago. They hunted for deer on the river banks.",Archaeologists hunted for deer on the river banks.,0,265,not entailment,1000265
"Mr. Moncrieff visited Chester's luxurious New York apartment, thinking that it belonged to his son Edward. The result was that Mr. Moncrieff has decided to cancel Edward's allowance on the ground that he no longer requires his financial support.",He no longer requires Edward's financial support.,0,537,not entailment,1000537
The sculpture rolled off the shelf because it wasn't anchored.,The shelf wasn't anchored.,0,576,not entailment,1000576
"Jane knocked on the door, and Susan answered it. She invited her to come in.",Jane invited her to come in.,0,255,not entailment,1000255
Carol believed that Rebecca regretted that she had stolen the watch.,Carol believed that Rebecca regretted that Carol had stolen the watch.,0,470,not entailment,1000470
This book introduced Shakespeare to Ovid; it was a major influence on his writing.,It was a major influence on Shakespeare's writing.,1,121,entailment,1000121
"Since it was raining, I carried the newspaper in my backpack to keep it dry.",I carried the newspaper in my backpack to keep the newspaper dry.,1,185,entailment,1000185
"Jane knocked on the door, and Susan answered it. She invited her to come in.",Susan invited her to come in.,1,402,entailment,1000402
"As Andrea in the crop duster passed over Susan, she could see the landing gear.",Susan could see the landing gear.,1,413,entailment,1000413
"Mary tucked her daughter Anne into bed, so that she could work.","Mary tucked her daughter Anne into bed, so that Mary's daughter could work.",0,448,not entailment,1000448
"Patting her back, the woman smiled at the girl.","Patting the girl's back, the woman smiled at the girl.",1,623,entailment,1000623
Sam broke both his ankles and he's walking with crutches. But a month or so from now they should be better.,The crutches should be better.,0,28,not entailment,1000028
Fred is the only man still alive who remembers my great-grandfather. He is a remarkable man.,My great-grandfather is a remarkable man.,0,127,not entailment,1000127
Pete envies Martin because he is very successful.,Martin is very successful.,1,184,entailment,1000184
This book introduced Shakespeare to Ovid; it was a fine selection of his writing.,It was a fine selection of Ovid's writing.,1,330,entailment,1000330
"The path to the lake was blocked, so we couldn't reach it.",We couldn't reach the lake.,1,180,entailment,1000180
Sam's drawing was hung just above Tina's and it did look much better with another one above it.,Tina's drawing did look much better with another one above it.,1,565,entailment,1000565
Steve follows Fred's example in everything. He influences him hugely.,Steve influences him hugely.,0,3,not entailment,1000003
Sam's drawing was hung just above Tina's and it did look much better with another one below it.,Sam's drawing did look much better with another one below it.,1,106,entailment,1000106
"This morning, Joey built a sand castle on the beach, and put a toy flag in the highest tower, but this afternoon the wind knocked it down.",This afternoon the wind knocked The flag down.,1,315,entailment,1000315
John hired himself out to Bill to take care of him.,John hired himself out to Bill to take care of Bill.,1,613,entailment,1000613
"In the middle of the outdoor concert, the rain started falling, and it continued until 10.",The rain continued until 10.,1,190,entailment,1000190
"The dog chased the cat, which ran up a tree. It waited at the top.",The dog waited at the top.,0,153,not entailment,1000153
"Alice was dusting the living room and trying to find the button that Mama had hidden. No time today to look at old pictures in her favorite photo album. Today she had to hunt for a button, so she put the album on a chair without even opening it.",She put the album on a chair without even opening the living room.,0,84,not entailment,1000084
"Sam tried to paint a picture of shepherds with sheep, but they ended up looking more like golfers.",The shepherds ended up looking more like golfers.,1,136,entailment,1000136
"Adam can't leave work here until Bob arrives to replace him. If Bob had left home for work on time, he would be here by this time.",Bob would be here by this time.,1,119,entailment,1000119
Jane knocked on Susan's door but she did not answer.,Jane did not answer.,0,59,not entailment,1000059
The table won't fit through the doorway because it is too narrow.,The table is too narrow.,0,11,not entailment,1000011
Jim signaled the barman and gestured toward his bathroom key.,Jim signaled the barman and gestured toward The barman's bathroom key.,1,129,entailment,1000129
"We had hoped to place copies of our newsletter on all the chairs in the auditorium, but there were simply too many of them.",There were simply too many chairs.,1,564,entailment,1000564
"I saw Jim yelling at some guy in a military uniform with a huge red beard. I don't know why he was, but he looked very unhappy.","I don't know why the guy in uniform was, but he looked very unhappy.",0,57,not entailment,1000057
"The older students were bullying the younger ones, so we punished them.",We punished the older students.,1,348,entailment,1000348
Dr. Adams informed Kate that she had cancer and presented several options for future treatment.,Dr. Adams had cancer and presented several options for future treatment.,0,476,not entailment,1000476
"In July, Kamtchatka declared war on Yakutsk. Since Yakutsk's army was much better equipped and ten times larger, they were victorious within weeks.",Kamchatka was victorious within weeks.,0,356,not entailment,1000356
"We had hoped to place copies of our newsletter on all the chairs in the auditorium, but there were simply too many of them.",There were simply too many copies of the newsletter.,0,35,not entailment,1000035
Thomson visited Cooper's grave in 1765. At that date he had been dead for five years.,Cooper had been dead for five years.,1,122,entailment,1000122
"I tried to paint a picture of an orchard, with lemons in the lemon trees, but they came out looking more like light bulbs.",The lemons came out looking more like light bulbs.,1,288,entailment,1000288
Anne gave birth to a daughter last month. She is a very charming baby.,Anne's daughter is a very charming baby.,1,317,entailment,1000317
The Wainwrights treated Mr. Crowley like a prince until he made his will in their favor; then they treated him like dirt. Folks said he died just to be rid of their everlasting nagging.,Folks said he died just to be ride of the folks' everlasting nagging.,0,262,not entailment,1000262
"We went to the lake, because a shark had been seen at the ocean beach, so it was a safer place to swim.",The lake was a safer place to swim.,1,468,entailment,1000468
The firemen arrived before the police because they were coming from so far away.,The police were coming from so far away.,1,522,entailment,1000522
"As Ollie carried Tommy up the long winding steps, his legs ached.",Tommy's legs ached.,0,149,not entailment,1000149
John was jogging through the park when he saw a man juggling watermelons. He was very impressive.,The juggler was very impressive.,1,245,entailment,1000245
Fred is the only man still alive who remembers my great-grandfather. He was a remarkable man.,Fred was a remarkable man.,0,601,not entailment,1000601
"I was trying to open the lock with the key, but someone had filled the keyhole with chewing gum, and I couldn't get it in.",I couldn't get the chewing gum in.,0,382,not entailment,1000382
"When Tommy dropped his ice cream, Timmy giggled, so father gave him a stern look.",Father gave Tommy a stern look.,0,133,not entailment,1000133
The table won't fit through the doorway because it is too wide.,The doorway is too wide.,0,256,not entailment,1000256
"Jackson was greatly influenced by Arnold, though he lived two centuries later.",Arnold lived two centuries later.,0,339,not entailment,1000339
"Jane knocked on the door, and Susan answered it. She invited her to come out.",Susan invited her to come out.,0,179,not entailment,1000179
"The donkey wished a wart on its hind leg would disappear, and it did.","The donkey wished a wart on its hind leg would disappear, and leg did.",0,540,not entailment,1000540
"It was a summer afternoon, and the dog was sitting in the middle of the lawn. After a while, it got up and moved to a spot under the tree, because it was hot.",The dog was hot.,1,166,entailment,1000166
"Lionel is holding captive a scientist, Dr. Vardi, who has invented a device that turns animals invisible; Lionel plans to use it on Geoffrey and send him to steal nuclear material from an army vault.",Lionel plans to use it on Geoffrey and send Geoffrey to steal nuclear material from an army vault.,1,234,entailment,1000234
I can't cut that tree down with that axe; it is too thick.,The axe is too thick.,0,102,not entailment,1000102
"Mark was close to Mr. Singer's heels. He heard him calling for the captain, promising him, in the jargon everyone talked that night, that not one thing should be damaged on the ship except only the ammunition, but the captain and all his crew had best stay in the cabin until the work was over.",Mr. Singer heard him calling for the captain,0,66,not entailment,1000066
The police arrested all of the gang members. They were trying to run the drug trade in the neighborhood.,The gang members were trying to run the drug trade in the neighborhood.,1,579,entailment,1000579
Sara borrowed the book from the library because she needs it for an article she is working on. She reads it when she gets home from work.,She reads the book when she gets home from work.,1,117,entailment,1000117
"Tom said ""Check"" to Ralph as he moved his bishop.","Tom said ""Check"" to Ralph as he moved Tom's bishop.",1,449,entailment,1000449
Susan knows all about Ann's personal problems because she is indiscreet.,Ann is indiscreet.,1,569,entailment,1000569
"Bob paid for Charlie's college education, but now Charlie acts as though it never happened. He is very ungrateful.",Bob is very ungrateful.,0,358,not entailment,1000358
Look! There is a shark swimming right below that duck! It had better get away to safety fast!,The duck had better get away to safety fast!,1,461,entailment,1000461
Madonna fired her trainer because she couldn't stand her boyfriend.,She couldn't stand Madonna's boyfriend.,0,54,not entailment,1000054
